[1506170734.1]	 data from PC: 'ANDROID:MAP:f8007000ff01fe03fc07f80ff01fe03fc07f80ff01fe03ffe7ffcfff9fff3ffe7fffffffffff:0000000000000000000000000000000000000000000000000'
[1506170734.1]	 data from PC: 'ARDUINO:INS:F'
[1506170734.1]	 data from PC: 'ANDROID:SP:282:1'
[1506170734.1]	 data from PC: 'ARDUINO:RS'
[1506170734.74]	 data from Arduino: '224\r\n'
[1506170734.8]	 data from Arduino: '234:0:0:0:0:2:0\r\n'
[1506170734.8]	 data from Arduino: '224\r\n'
[1506170735.31]	 data from PC: 'ANDROID:MAP:f8007000ff01fe03fc07f80ff01fe03fc07f80ff01fe03fff7ffefffdfffbfff7fffffffffff:000000000000000000000000000000000000000000000000000'
[1506170735.31]	 data from PC: 'ARDUINO:INS:F'
[1506170735.31]	 data from PC: 'ANDROID:SP:283:1'
[1506170735.31]	 data from PC: 'ARDUINO:RS'
[1506170736.04]	 data from Arduino: '224\r\n'
[1506170736.13]	 data from Arduino: '234:0:0:0:0:2:0\r\n'
[1506170736.13]	 data from Arduino: '224\r\n'
[1506170736.65]	 data from PC: 'ANDROID:MAP:f8007000ff01fe03fc07f80ff01fe03fc07f80ff01fe03ffffffffffffffffffffffffffffff:0000000000000000000000000000000000000000000000000000'
[1506170736.65]	 data from PC: 'ARDUINO:INS:R'
[1506170736.65]	 data from PC: 'ANDROID:SP:283:2'
[1506170736.65]	 data from PC: 'ARDUINO:RS'
[1506170737.36]	 data from Arduino: '224\r\n'
[1506170737.43]	 data from Arduino: '224\r\n'
[1506170737.47]	 data from Arduino: '234:0:0:0:0:2:0\r\n'
[1506170737.48]	 data from Arduino: '224\r\n'
[1506170740.11]	 data from PC: 'ANDROID:MAP:f8007000ff01fe03fc07f80ff01fe03fc07f80ff01fe03ffffffffffffffffffffffffffffff:0000000000000000000000000000000000000000000000000000'
[1506170740.11]	 data from PC: 'ARDUINO:INS:F'
[1506170740.11]	 data from PC: 'ANDROID:SP:268:2'
[1506170740.11]	 data from PC: 'ARDUINO:RS'
[1506170740.78]	 data from Arduino: '224\r\n'
